"a";"b";"c";"d";"answer";"question";"subject_id"
"Shared with other properties";"Embedded in other tools";"Shared with other properties & Embedded in other tools";"None of the mentioned";"C";"What are the features of an interpreter?";4
"Time taken to download";"Size of IP packet should be less than 65500";"Size of IP packet should be less than 65535";"Size of IP packet should be greater than 65500";"C";"Why is the total size of the page important?";4
"Remote server";"Local server";"By itself";"None of the mentioned";"A";"How will the HTTP GET request be sent from the browser?";4
"HTTP Response";"HTTP Request";"Get Request";"None of the mentioned";"A";"Once the TCP/IP connection has been established, the browser sends an HTTP GET request over the connection to the remote server. The remote server finds the resource and returns it in an HTTP Response, the status of which is 200 to indicate a good response.";4
"Network Access Layer";"Internet Layer";"Transport Layer";"Presentation Layer";"A";"Which layer is used to control the communication between the hardware in the network?";4
"To hold configuration information";"To hold key details";"To hold URL details";"To hold the speed of the process";"A";"What is the necessity to create a separate file after having an API key?";4
"63";"54";"68";"90";"A";"How many reserved words are there in JavaScript?";4
"5";"6";"7";"8";"D";"How many parameters does the API accept?";4
"Specifies agent location";"Specifies speed";"Specifies browser";"All of the mentioned";"D";"What is the purpose of the parameter location?";4
"Results got for the first view";"Can run the repeat view test";"Can run the repeat view test";"None of the mentioned";"A";"What will happen if the fvonly parameter is set to 1?";4
"Converts XML document to XML DOM object";"Converts XML DOM object to XML document";"Converts XML DOM object to a comment";"None of the mentioned";"A";"What is the function of the XML parser?";4
"Used to call automation object";"Used to reference automation object";"Used to instantiate automation object";"All of the mentioned";"C";"What is the purpose of the method ActiveXObject()?";4
"Belongs to JSON object";"Reference JSON formatted data";"Belongs to JSON";"None of the mentioned";"B";"What is the purpose of the url json?";4
"date";"string";"datestring";"string";"C";"What is the parameter of the method Date.parse()?";4
"print()";"printcurrent()";"print(now)";"print(this)";"A";"Which is the function in JavaScript that will print the current page in JavaScript?";4
"XML";"XBT";"XHR";"None of the mentioned";"C";"Which of the following object is used to post the data to an external process, say savePerfData?";4
"Normal file";"Flat file";"Folder";"None of the mentioned";"B";"Where does the external process save the result of the test?";4
"startTimeLogging()";"start()";"Loggingstart()";"startLogging()";"A";"Which function is used to start the time logging?";4
"Target";"Enctype";"Action";"None of the mentioned";"D";"Which of the following attribute of form tag is not set by using document object in JavaScript?";4
"Lexical";"Literal";"Both Lexical and Literal";"None of the mentioned";"A";"What type of scooping is present in JavaScript?";4
"Blackbird";"Log Hound";"jsTracer";"fvlogger";"B";"Which of the following JavaScript logging tool is standalone?";4
"DummyAppender";"ConsoleAppender";"FileAppender";"All of the mentioned";"D";"Which of the following are appenders?";4
"spawn(f);";"load(filename,…);";"readFile(file);";"readUrl(url);";"D";"Which of the following reads the textual contents of a URL and returns as a string?";4
"Use of .NET";"Use of Java";"Both .NET and Java";"None of the mentioned";"A";"When does JSNLog have server-side extensions?";4
"8";"9";"10";"11";"C";"What will be the radix value of the parseInt() method when the string begins with any other value other than 0x and 0?";4
"SyntaxError";"ArrayOutOfBoundException";"Both SyntaxError and ArrayOutOfBoundException";"None of the mentioned";"A";"What kind of an exception will be thrown if the string to parse is not valid JSON?";4
"Esprima";"UgilifyJS";"Acron";"None of the mentioned";"B";"Which of the following is a JavaScript Compressor?";4
"Exposes a simple API";"Minification";"Both Exposes a simple API and Minification";"None of the mentioned";"C";"What is the purpose of the UgilifyJS?";4
"JSLint";"Esprima";"Acron";"Traceur";"C";"Which of the following is the fastest JavaScript parser?";4
"Get the URL and redirect";"Get the location of the cursor";"Get the path to the next page";"All of the mentioned";"A";"What is the purpose of the window.location object in JavaScript?";4
"location.new()";"loadnew()";"location.load()";"location.assign()";"D";"Which of the following method loads a new document?";4
"setInterval()";"setTimeout()";"setmilli()";"setseconds()";"A";"Which of the following method will wait for certain milliseconds to execute a specified method?";4
"clearInterval()";"clcearTimeout()";"both clearInterval() and clcearTimeout()";"none of the mentioned";"C";"What is the method used to stop an execution of a method?";4
"Moving declarations to bottom";"Moving declarations to top";"Hosting variables by itself";"None of the mentioned";"B";"What is the meaning of JavaScript Hoisting?";4
"Numeral system not to be used";"Numeral system to be used";"Convertion mode";"None of the mentioned";"B";"What is the purpose of the radix parameter in the parseInt() method?";4
"6";"7";"8";"9";"C";"What will be the radix value of the parseInt() method when the string begins with 0?";4
"Parses a string to integer";"Parses a string to JSON";"Parses a string from JSON to JSON2";"None of the mentioned";"B";"What is the purpose of the method JSON.parse()?";4
"String";"Float";"Integer";"Date";"C";"What is the return type of the method parseInt()?";4
"text";"reviver";"both text and reviver";"none of the mentioned";"C";"What are the parameters of the method JSON.parse()?";4
"Field’s expected value";"Field’s previous value";"Field’s current value";"Field’s probability value";"C";"What is the purpose of the parameter $value?";4
"Data stored in different table";"Data stored in its own table";"Data is not stored at all";"Data is not obtained";"B";"When does the defineContentAttribute() method return a false?";4
"1";"2";"3";"4";"C";"How many events does the BaseFieldType provide?";4
"onBeforeSave()";"BeforeSave()";"SaveBefore()";"None of the mentioned";"A";"Which method is called right before a field is saved?";4
"log";"loglevel";"leveljavascript";"jslogjava";"B";"Which of the following are JavaScript logging library?";4
"Copies without removing";"Copies and removes";"Only copies";"Only removes";"A";" What is the function of the method importNode()?";4
"comment()";"createComment()";"Comm()";"None of the mentioned";"B";"How can you create a node for comment in JavaScript?";4
"dispatchEvent()";"dispatch()";"dispatch(Event)";"None of the mentioned";"A";"How can you dispatch a synthetic event object?";4
"execcommand()";"exec(command)";"execCommand()";"exec(command id)";"C";"How do you specifically execute a command in JavaScript?";4
"Type of the input";"Type of the output";"Type of the field";"All of the mentioned";"C";"What is necessary when we need to create a new field in craft?";4
"stopTimeLogging()";"stop()";"finish()";"abort()";"A";"Which function is used to stop the time logging?";4
"Segments";"Blocks";"Functions";"Entire code";"C";"The lexical scooping in JavaScript is based on which of the following?";4
"integer";"string";"boolean";"float";"B";"What is the return data type of the property accept that belongs to the Input element?";4
"Number of data";"Number of pixels";"Number of pixels per row of data";"All of the mentioned";"C";"What is the purpose of the property width belonging to the ImageData element?";4
"Removes node";"Makes it ready for insertion";"Removes node and Makes it ready for insertion";"None of the mentioned";"C";"What is the purpose of the adoptNode() method?";4
"Lightweight";"Unreliable";"Minimal usage";"Inconvenient";"A";"What is the significance of the JavaScript logging library loglevel?";4
"IE";"Safari";"Opera";"All of the mentioned";"D";"Which of the following browsers support the usage of the JavaScript logging library log4javascript?";4
"Fully featured";"Easy to use";"Fully featured and Easy to use";"None of the mentioned";"C";"What is the significance of the JavaScript logging library log4javascript?";4
"Lumberjack";"Log Hound";"jsTracer";"fvlogger";"A";"Which of the following JavaScript logging framework lets one to toggle the plane?";4
"Blackbird";"Log Hound";"jsTracer";"fvlogger";"C";"Which of the following JavaScript logging tool is also a debugging tool?";4
"Input";"Fieldtype’s input HTML";"Array";"Value";"B";"What does the getInputHtml() return?";4
"1";"2";"3";"4";"B";"How many arguments does the getInputHtml() accept?";4
"prep()";"settings()";"defineSettings()";"prepSettings()";"D";"Which is the method used to process on the input’s post data before it is saved to the database?";4
"Document Name";"Input Name";"Output Name";"ID";"B";"What is the purpose of the parameter $name ?";4
"Array of settings name";"Array of hash key";"Array of strings";"None of the mentioned";"A";"What does the method defineSettings() return?";4
"window";"document";"hash";"none of the mentioned";"A";"To which of the following object does the print() method belong to?";4
"Runs in assumption";"Throws exception";"Aborts";"Taken as 0";"A";"What will happen if the radix parameter of the parseInt() function is omitted?";4
"13";"14";"15";"16";"D";"What will be the radix value if the string begins with 0x?";4
"Parses a datatype and stores in an integer";"Parses a string and returns an integer";"Parses an integer and returns a string";"None of the mentioned";"B";"What is the function of the parseInt() method?";4
"String begins with 0x";"String begins with 0";"String begins with 0P";"String begins with FF";"A";"What does it indicate when the radix value is 16?";4
"Observing influences outcome";"Observing never influences outcome";"Obversing and outcome are independent";"None of the mentioned";"A";"What is an observer effect?";4
"5";"6";"7";"8";"C";"How many default number methods are available in JavaScript?";4
"Timing the code";"Calculating the number of operations performed";"Timing the code & Calculating the number of operations performed";"None of the mentioned";"C";"Which of the following are ways to benchmark code?";4
"Start time – End time";"End time – Start time";"Start time/ End time";"Start time * End time";"B";"How to calculate the run time of a code?";4
"Display to screen";"Log to server";"Either Display to screen or Log to server";"None of the mentioned";"C";"According to the workflow of a runtime logging, what happens after calculating the run time?";4
"performance.memory";"memory(performance)";"performance(memory)";"none of the mentioned";"A";"Which of the following property gives access to the JavaScript memory usage data?";4
"Time of navigation event";"Time of page load event";"Time of navigation and page load event";"None of the mentioned";"C";"What is the purpose of the timing property in the window.performance object?";4
"responseStart";"responseEnd";"both responseStart and responseEnd";"none of the mentioned";"C";"Which of the following property is associated with the Response event?";4
"responseEnd-loadEventEnd";"loadEventEnd-responseEnd";"loadEventEnd/responseEnd";"responseEnd/loadEventEnd";"B";"Which of the following computation is correct to calculate the time taken for page load once the page is received from the server?";4
"domComplete";"domContentLoaded";"domInteractive";"none of the mentioned";"D";"Which of the following property is associated with the Processing event?";4
"DOMTimeStamp";"DOMHighResTimeStamp";"DOMStamp";"TimeStamp";"B";"What does the method Performance.now() return?";4
"Time";"Timing";"Performance";"PerformanceTiming";"D";"Which of the following is an interface?";4
"1";"2";"3";"4";"B";"How many properties are associated with the Response event?";4
"Navigation by moving back through history";"Navigation by moving forward through history";"Navigation by moving back & forward through history";"None of the mentioned";"C";"What does it indicate when the type attribute of the navigation object is set to 2?";4
"PerformanceTiming.navigationStart";"PerformanceTiming.fetchStart";"PerformanceTiming.navigationStart & PerformanceTiming.fetchStart";"None of the mentioned";"C";"Which of the following is a read-only property?";4
"Ready to end the navigation";"Ready to jump the navigation";"Ready for navigation";"None of the mentioned";"C";"What is the purpose of the property PerformanceTiming.navigationStart?";4
"Undefined values";"Functions within an object";"Both Undefined values and Functions within an object";"None of the mentioned";"C";"Which of the following does JSON.stringify not serialize?";4
"requestStart";"requestEnd";"both requestStart and requestEnd";"none of the mentioned";"A";"Which of the following property is associated with the Request event?";4
"Navigation API";"Timing API";"Navigation Timing API";"None of the mentioned";"C";"Which of the following API can be used to get the timing without affecting the page loading process?";4
"Browser ready to fetch input";"Browser ready to fetch document";"Browser ready to fetch summary";"All of the mentioned";"B";"What is the purpose of the property PerformanceTiming.fetchStart?";4
"Reload performed";"Reload not performed";"Reload must be performed";"None of the mentioned";"A";"What is the purpose of the constant TYPE_RELOAD?";4
"TYPE_NAVIGATE";"TYPE_RELOAD";"TYPE_BACK_FORWARD";"TYPE_RESERVED";"D";"Which of the following constants has the value 255?";4
"Navigation via browser history";"Navigation via user request";"Navigation via URL";"None of the mentioned";"A";"What does the constant TYPE_BACK_FORWRD indicate?";4
"TYPE_NAVIGATE";"TYPE_RELOAD";"TYPE_BACK_FORWARD";"TYPE_RESERVED";"C";"Which of the following constants hold the value 2?";4
"Browser";"Client";"Server";"DNS Server";"D";"Where does the DNS Lookup direct to ?";4
"Collection of Java objects";"Collection of JavaScript objects";"Collection of memory usage values";"Collection of data stored in memory";"B";"What is a heap in JavaScript?";4
"1";"2";"3";"4";"C";"How many properties are available in a memory object?";4
"Gets unused memory details";"Shows optimization";"Gets memory usage";"None of the mentioned";"C";"What is the function of the memory object?";4
"performance.memory. SizeLimit";"performance.memory. jsHeapSizeLimit";"jsHeapSizeLimit";"performance.jsHeapSizeLimit";"B";"What is the command to access the Heap size limit?";4
"Removes object with many reference";"Removes object with reference";"Removes object with invalid reference";"Removes object with no reference";"D";"What is the purpose of garbage collection?";4
"6";"7";"8";"9";"B";"How many properties does a prototype object have?";4
"JSON.string";"JSON";"JSON.stringify";"None of the mentioned";"C";"Which of the following does not serialize the undefined values or objects within an object?";4
"1";"4";"2";"3";"C";"How many properties are there in window.performance object?";4
"21";"22";"23";"24";"A";"How many properties are there in the interface PerformanceTiming?";4
"To which page the user navigated";"How the user navigated";"All of the mentioned";"None of the mentioned";"B";"What is the purpose of the navigation property in the window.performance object?";4
"1";"2";"3";"4";"B";"How many read-only attributes are present in the navigator object?";4
"TCP connection available";"Complete roundtrip absent";"Complete roundtrip present";"None of the mentioned";"B";"Why are HTTP redirects significant?";4
"Amount of memory used";"Amount of memory unused";"Amount of memory used & unused";"None of the mentioned";"A";"What does the usedJsHeapSize property indicate?";4
"heapSize";"totalHeapSize";"totalJsHeapSize";"totalHeap";"C";"Which of the following property indicate the total size of heap?";4
"Profiling";"Sequencing";"Serializing";"None of the mentioned";"A";"What can be done to monitor the memory usage?";4
"about:memory";"memory";"about-memory";"about::memory";"A";"Which of the following gives the high level breakdown of memory usage?";4
"verb";"verbose";"granule";"none of the mentioned";"B";"Which keyword must be used to get a more granular insight of the memory usage?";4
"Browser";"Client";"Server";"DNS Server";"A";"Where does the DNS reply go to in a single HTTP redirect?";4
"navigation.redirectCount";"performance.navigation.redirectCount";"performance.redirectCount";"redirectCount";"B";"How can one access the redirectCount property?";4
"2";"3";"4";"5";"C";"How many constant values can the property type be represented?";4
"Returns the VALUE of a selected OPTION";"Returns document.URL of the window in focus";"Returns the value of cursor-selected text";"Returns the VALUE of a checked radio input";"C";"Which best explains getSelection()?";4
"If the reference string comes before or after another string";"If the reference string is validated";"If the string is a reference string";"None of the mentioned";"A";"What is the purpose of the method localeCompare()?";4
"Database";"Cursor";"Client";"FileUpLoad";"D";"Which of the following are client-side JavaScript object?";4
"s.on(data"",f)""";";s.on(""end"""",f)""";";s.on(""error"""",f)""";";s.on(""default"""",f)""";";B""""";"When the “end event fires on EOF when no more data will arrive, which function is called?""""";4
"sets = sets.AbstractEnumerableSet.extend();";"sets.SingletonSet = sets.AbstractEnumerableSet.extend(...);";"sets.SingletonSet = sets.extend(...);";"sets = sets.extend(...);";"B";"To define each of the set classes as a property of the sets object (namespace) for the module, the statement is";4
"Load the script asynchronously";"Load the script synchronously";"Load the page asynchronously";"Load the page synchronously";"A";"What is the purpose of using the async attribute in the script tag?";4
"Invoke code during page loading";"Invoke code during script loading";"Invoke code during downloading";"None of the mentioned";"C";"Why do we need to use an onload event in the script tag after using the async attribute?";4
"Start the timer";"Capture time logging";"Capture timing data for referencing";"All of the mentioned";"D";"What is the purpose of the startTimeLogging() method?";4
"Integer";"String";"Boolean";"Decimal";"C";"What is the type of datatype the async attribute optionally accepts?";4
"createDOMelement()";"createElement()";"createDOMElement()";"none of the mentioned";"B";"What is the method used to create an element in the HTML DOM?";4
"Tokens";"Strings";"Address";"All of the mentioned";"A";"Which of the following gets converted to DOM elements by the rendering engine?";4
"Paint DOM elements";"Parse Content";"uild DOM nodes in render tree";"None of the mentioned";"D";"Which of the below does not belong to the Render Engine work flow?";4
"Paint DOM elements";"Parse Content";"Build DOM nodes in render tree";"None of the mentioned";"B";"Which is the next step after retrieving the content in chunks?";4
"Execute script";"Layout positioning of DOM elements";"Paint DOM elements";"Build DOM nodes in render tree";"D";"What will happen after executing the script?";4
"Build DOM nodes in render tree";"Layout positioning of DOM elements";"Paint DOM elements";"Execute script";"A";"What would happen if there were no script tags?";4
"Inline JavaScript block";"External JavaScript file";"Both Inline JavaScript block & External JavaScript file";"None of the mentioned";"C";"When does the browser stop rendering the HTML?";4
"Rendering engine";"JavaScript Interpreter";"UI Layer";"Network Layer";"A";"Which of the following handles painting the content on to the screen?";4
"Skips the code";"Continues painting";"Switches to Javascript Interpreter";"None of the mentioned";"C";"What does the rendering engine do when it encounters JavaScript?";4
"Just In Time compiler";"JavaScript Interpreter";"Both Just In Time compiler and JavaScript Interpreter";"None of the mentioned";"B";"Which of the following runs the JavaScript code?";4
"Transport Layer";"Application Layer";"Network Layer";"Physical Layer";"C";"Which of the following layer retrieves the content from the network?";4
"Creates a fragment object";"Creates a document fragment";"Creates imaginary node object";"None of the mentioned";"C";"What is the purpose of the method createDocumentFragment()?";4
"0";"1";"False";"True";"D";"What is the default value of the asyc attribute?";4
"frame(data)";"frameData()";"data.frame()";"none of the mentioned";"C";"What is the method to create a data frame ?";4
"Hold the page render time";"Hold the load time";"Hold the page render time & load time";"None of the mentioned";"C";"What is the purpose of creating a data frame?";4
"navigator.appCodeName";"navigator.appName";"navigator.appVersion";"none of the mentioned";"A";"Which of the following navigator object properties is the same in both Netscape and IE?";4
"Throws an error";"Throws an exception";"Sends it to the compiler";"Sends it to the interpreter";"D";"What will happen if the browser encounters a script tag without an src attribute?";4
"Load Scripts programmatically";"Load JavaScript files manually";"Load JavaScript files programmatically";"All of the mentioned";"C";"What is the purpose of script loading?";4
"Resend the scripts";"Create inline JavaScript";"All of the mentioned";"None of the mentioned";"B";"What is the solution to the absence of a script tag without an src attribute?";4
"getElementbyID()";"getElementsbyName()";"getElementsbyTagName()";"getTagName()";"C";"How to get a particular value using the tagged name?";4
"Object";"String";"Array";"Any of the mentioned";"D";"What should be the type of the script_url?";4
"Immediate loading is necessary";"Loading under command";"Immediate loading is not necessary";"None of the mentioned";"C";"What is the purpose of lazy loading?";4
"After window.onload event";"Before window.onload event";"All of the mentioned";"None of the mentioned";"A";"Where is the external JavaScript placed in the case of lazy loading?";4
"Function";"Function, Event";"Event, Function";"Event";"C";"What are the parameters of the attachEvent function?";4
"Throws an exception";"Throws an error";"It will load by itself";"None of the mentioned";"B";"What is the result when the showPerformanceMetrics() is called before loading the remote script?";4
"onclick";"onload";"onshow";"all of the mentioned";"B";"Which of the following is an attribute to the script object?";4
"css";"stylesheet";"text/css";"all of the mentioned";"B";"What does the rel attribute of a variable have when the type of file is CSS?";4
"Inlining the perfLogger";"Removing the perfLogger";"Placing the perfLogger before the “script tag""""";"None of the mentione";"A";"How do we stop blocking of loading and executing the perfLogger, a logging type data?";4
"Fetching data";"Loading the script";"Loading the page";"Adding the event listener";"A";"What is the inital step to set up a CSS Lazy Loading?";4
"To have more information";"To identify the scripting language";"All of the mentioned";"None of the mentioned";"B";"What is the purpose of holding whatever tag you create in the attribute type?";4
"image";"src";"img";"imageurl";"C";"What is the parameter of the method getElementsbyTagName() if we need to get an image?";4
"Appends a node in the middle of the index taken as the parameter";"Appends a node as the first child";"Appends a node as the last child";"None of the mentioned";"C";"What does the appendChild() method perform?";4
"text/js/css";"text/js";"text/css";"text";"C";"What should be the value of the type attribute of a variable if the type of file is CSS?";4
"Remove the rel attribute";"Remove the src attribute";"Make rel = src";"Make src = rel";"B";"How to lazy load images?";4
"addEventListener()";"addListener()";"addEvent(Listener)";"addListener(Event)";"A";"Which is the method used to add an event listener?";4
"Document exists";"Document can load";"Document has loaded";"Document begins to load";"D";"What is the purpose of the domLoading attribute?";4
"Date.Now()";"Date.Now() – performance.timing.domLoading";"performance.domLoading";"Date.Now() – performance.domLoading";"B";"How is the render time calculated?";4
"Instance object";"Constructor object";"Destructor object";"Prototype object";"D";"The object whose properties are inherited by all instances of the class, and properties whose values are functions behaving like instance methods of the class, is";4
"window.reload";"location.reload";"window.refresh";"page.refresh";"B";"You can refresh the webpage in JavaScript by using";4
"Traverses the queue";"Traverses the stack";"Finds the bugs";"None of the mentioned";"B";"What does the interpreter do when you reference variables in other scopes?";4
"document";"html";"image";"pre";"A";"The attribute location belongs to which element?";4
"Traverses the queue";"Finds the bugs";"Traverses the stack";"None of the mentioned";"C";"What will happen if you reference document.location from within an object?";4
"To optimize the testing process";"To increase the speed";"To minimize memory usage";"To cache the reference document.location";"D";"Why do we need to create locally scoped variables to hold value?";4
"Interpret the code";"Compile the code";"Run the code";"None of the mentioned";"C";"What is the next step after calling the startTimeLogging()?";4
"Function";"Destructor";"Constructor";"Interface";"C";"Which will be invoked to create a new worker?";4
"Resolves itself";"Must have the same origin";"Must not have the same origin";"None of the mentioned";"B";"What will happen if you specify an absolute URL in the Worker constructor?";4
"close()";"exit()";"terminate()";"halt()";"A";"Which is the function that allows a worker to terminate itself?";4
"Single-threaded";"Single-threaded";"Both Single-threaded and Multi-threaded";"None of the mentioned";"A";"Which of the following is one of the fundamental features of JavaScript?";4
"load()";"require()";"both load() and require()";"none of the mentioned";"C";"Which of the following functions are synchronous?";4
"postMessage()";"sendMessage()";"Message()";"post()";"A";"How can you send data using a Worker object?";4
"User friendliness";"Tie up event loops";"Browser becomes unresponsive";"All of the mentioned";"D";"Why shouldn’t JavaScript functions not be too long?";4
"WorkerGlobalScope";"Worker";"WorkerScope";"Window";"A";"Which of the following is a global object for a new worker?";4
"Window";"Function";"Document";"Location";"A";"During the traversing through the stack, where does it go after it goes to the namespace?";4
"Namespace";"Function";"Document";"None of the mentioned";"D";"During the traversing through the stack, where does it go after it goes to the window?";4
"Window";"Function";"Document";"Location";"B";"During the traversing of the stack when you create a locally scoped variable, where does it go after it goes to the namespace?";4
"stopadhoc()";"stopTimer()";"stopTimeLogging()";"none of the mentioned";"C";"What is the function used to stop capturing the ad hoc timing ?";4
"Window";"Function";"Document";"None of the mentioned";"D";"During the traversing of the stack when you create a locally scoped variable, where does it go after it goes to the location?";4
"onmessage";"onerror";"both onmessage and onerror";"none of the mentioned";"C";"Which property is used to manage multiple event handlers?";4
"Window";"Worker";"Element";"Hash";"B";"The object that looks to the thread that creates it is";4
"Meters";"Kilometers";"Bytes";"Pixels";"C";"The size of blobs are generally calculated in";4
"Memory";"Disk";"Both Memory and Disk";"None of the mentioned";"C";"The blobs are generally stored in";4
"partition()";"cut()";"sliceall()";"slice()";"D";"The blobs are broken into smaller pieces using which of the following functions?";4
"Structured clone algorithm";"Double buffer algorithm";"Chen’s algorithm";"Retrieval algorithm";"A";"Which algorithm supports blobs?";4
"Binary Little Object";"Binary Large Object";"Broken Large Object";"None of the mentioned";"B";"BLOB stands for";4
"Open source";"Run time application";"Web application";"Only Open source and Web application";"D";"In which way can the closure compiler can be used?";4
"Renames variables";"Renames function";"Both Renames variables and function";"None of the mentioned";"C";"What is the purpose of the advanced mode in the closure compiler?";4
"Download faster";"Run faster";"Both Download faster and Run faster";"None of the mentioned";"C";"What is the function of the closure compiler?";4
"Statically updating in JavaScript";"To increase the efficiency and convenience";"Dynamically generating HTML in Java and JavaScript";"All of the mentioned";"C";"Why is a closure template used?";4
"Warnings";"Suddenly aborts";"Rejects malicious inputs";"All of the mentioned";"A";"In what way does the closure compiler help in checking the code?";4
"“script tag and “body"" tag""""""";"External JavaScript and the “script tag""""";"“html tag and “body"" tag""""""";"None of the mentioned";"B";"What are the two parts of JavaScript libraries?";4
"user_pref(javascript.console.open_on_error"", true)""";";user_pref(""javascript.console.open_error """", true)""";";user_pref(""javascript.console.open_error """", false)""";";user_pref("" javascript.console.open_on_error"""", false)""";";A""""";"Which of the following is added to prefs.js when the console is automatically opened during JavaScript error?";4
"cpp";"cs";"php";"all of the mentioned";"C";"Which of the following is possible to be referenced in external JavaScript?";4
"img";"src";"source";"none of the mentioned";"B";"Which of the following attribute takes the source of the PHP file?";4
"Absolute";"Relative";"Either Absolute or Relative";"Both Absolute and Relative";"C";"What kind of path can the PHP file be?";4
"Removes whitespaces";"Does not remove white spaces";"Removes the unwanted words";"None of the mentioned";"A";"What is the purpose of the simple mode?";4
"Run time application";"Web application";"Standalone application";"All of the mentioned";"B";"What is a closure compiler UI?";4
"Efficiency";"Code checking";"Both Efficiency and Code checking";"None of the mentioned";"D";"What are the benefits of closure compiler?";4
"Increases the size of the JavaScript files";"Reduces the size of the JavaScript files";"Reduces the execution time";"Reduces the speed";"B";"In what way is the closure compiler efficient?";4
"1";"2";"3";"4";"B";"In how many modes can the closure compiler be run?";4
"Client side objects";"Server side objects";"Both Client side and Server side objects";"None of the mentioned";"A";"Where are memory leaks found?";4
"onload";"manipulate";"create";"none of the mentioned";"A";"Which handler is triggered when the content of the document in the window is stable and ready for manipulation?";4
"Reliability";"Reachability";"Efficiency";"Transparency";"B";"What is the central concept of JavaScript memory management?";4
"Browser doesn’t release memory from objects unnecessary";"Browser releases too many memories";"All of the mentioned";"None of the mentioned";"A";"When does a memory leak happen?";4
"Element";"Window";"Location";"None of the mentioned";"A";"The style property belongs to while of the following object?";4
"Creator";"BlobCreator";"BlobBuilder";"None of the mentioned";"C";"Which object can be used to create your own blobs?";4
"Elemental Object";"Create Object";"Data Object";"File Object";"D";"Which of the following is a subtype of Blob?";4
"send()";"pass()";"upload()";"store()";"A";"Which method facilitates in uploading a Blob to a server?";4
"createURL()";"createObjectURL()";"designURL()";"URLCreation()";"B";"A Blob URL can be created using which of the following function?";4
"Convenient";"Dynamic";"Reachable";"All of the mentioned";"B";"What is the significance of scripting?";4
"Multiple loading";"Load content by loading new document";"Load content without loading new document";"None of the mentioned";"C";"What is the purpose of XMLHttpRequest?";4
"Java API";"SDL API";"Object API";"Geolocation API";"D";"Which API makes the user’s current location available to browser-based application?";4
"WAI ARIA";"Geolocation API";"Object API";"None of the mentioned";"A";"Which of the following ensures additional interactivity mechanism?";4
"Guide to performing activities";"Describe particular task";"Both performing activities and Describe particular task";"None of the mentioned";"B";"What is the necessity to have API?";4
"Server-side databases";"Client-side databases";"Both Server-side and Client-side databases";"None of the mentioned";"B";"Which database can be used to retrieve blobs?";4
"Content is played";"Content is transfered";"Both Content is played and transfered";"None of the mentioned";"A";"What is the purpose of the event onAirEvent?";4
"Before loading";"During loading";"After loading";"None of the mentioned";"C";"When does one use the event ready?";4
"Player demands for disconnection";"Player disconnects from the channel";"There is no user interaction";"None of the mentioned";"B";"What is the purpose of the event disconnectionEvent?";4
"Edit ad request";"Delete ad request";"Create ad request";"None of the mentioned";"C";"When does one use the method startOverlays()?";4
"Found unncessary";"Attributes don’t have attributes";"Attributes have attributes";"None of the mentioned";"B";"What is the reason for avoiding the attributes property in the HTML DOM?";4
"setTimeout";"setInterval";"both setTimeout and setInterval";"none of the mentioned";"C";"Which of the following functions are referenced internally?";4
"Consume unnecessary CPU cycles";"Prevent the dropping of reference count to 0";"Centralize the responsibility to clean up";"All of the mentioned";"D";"What is the purpose of destroying the functions and objects?";4
".js";".php";".js/php";".jss";"A";"In which format does JavaScript support external JavaScript?";4
"No reference occurs";"Two objects reference";"One object gets referenced";"One object gets referenced";"B";"When does a cycle occur during memory leak?";4
"Console Log";"Closures";"Destory objects";"All of the mentioned";"A";"Which of the following is a way to retain an object in memory?";4
"$HTTP_GET_VAR[]";"$HTTP_GET_VARS()";"$HTTP_GET_VARS";"$HTTP_GET_VARS[]";"D";"Which of the following global variables is used to get parameters?
";4
"Tests for a match in its float parameter";"Tests for a match in its string parameter";"Tests for a match in its integer parameter";"None of the mentioned";"B";"What is the purpose of the RegExp method test()?";4
"File type to be expected";"File type previously got";"File type that should not be got";"None of the mentioned";"A";"What is the purpose of the function parameter filetype?";4
"Text";"Script";"Both Text and Script";"None of the mentioned";"B";"Which program code doesn’t need preprocessing before being run?";4
"add.element()";"element.add()";"element.appendChild()";"none of the mentioned";"C";"Which of the following is the method used to add an element to the desired location?";4
"Sets ID";"Sets attribute node";"Sets element name";"None of the mentioned";"B";"What is the purpose of the method nodeMap.setNamedItem()?";4
"Node";"Attributes";"Elements";"All of the mentioned";"A";"How is everything treated in HTML DOM?";4
"Unordered collection of elements";"Unordered collection of attributes";"Unordered collection of nodes";"All of the mentioned";"D";"What does the NamedNodeMap object represent in the HTML DOM?";4
"Used to focus on a particular part of the HTML page";"HTML Attribute";"Used to arrange elements";"None of the mentioned";"B";"What is the purpose of the Attr object in the HTML DOM?";4
"User Interface elements";"All the possible elements";"Debugging elements";"None of the mentioned";"A";"What is the work of the form control elements in the HTML DOM?";4
"Window Object";"Document Object";"Form Object";"Form Control Elements";"A";"Which object is the top of the hierarchy?";4
"Class-wise";"Queue";"Hierarchy";"None of the mentioned";"C";"How are the objects organized in the HTML DOM?";4
"Legacy DOM";"W3C DOM";"IE4 DOM";"All of the mentioned";"D";"Which of the following is a type of HTML DOM?";4
"Makes the scripting easier";"Allows access to few keys and elements";"All of the mentioned";"None of the mentioned";"B";"What is the purpose of the Legacy DOM ?";4
"hover()";"focus()";"on()";"all of the mentioned";"B";"How do you focus a particular part of the HTML page in JavaScript?";4
